MW,Generacion_MWh,Generacion_USD,Inversion_USD,VAN_USD,TIR,PAYBACK_Years,Aumento
1,2295,185792.25,1000000,448856.10000000003,20,8,5%
2,4590,371583.45,1960000,959089.9500000001,21,8,5%
3,6885,557375.7000000001,2881200,1528859.85,22,7,5%
4,9180,743166.9,3764768,2156373.45,24,7,5%
5,11475,928959.15,4611841,3104689.35,27,7,5%
6,13770,1114750.35,5423525,3868486.6500000004,23,6,5%
7,16065,1300542.6,6200897,4700629.5,24,6,5%
8,18360,1486333.8,6945004,5582031.0,25,6,5%
9,20655,1672126.05,7656867,7267095.15,33,6,5%
10,22950,1857917.25,8337478,8309716.800000001,34,5,5%
11,25245,2043709.5,8987801,9394197.75,36,4,5%
12,27540,2229500.7,9608776,10492787.55,34,4,5%
13,29835,2415292.95,10201317,11655497.700000001,35,4,5%
14,32130,2601084.15,10766313,12856352.25,37,4,5%
15,34425,2786876.4,11304629,14094155.25,38,4,5%
1,2295,194639.50000000003,1000000,470230.2,20,8,10%
2,4590,389277.9,1960000,1004760.9,21,8,10%
3,6885,583917.4,2881200,1601662.7000000002,22,7,10%
4,9180,778555.8,3764768,2259057.9000000004,24,7,10%
5,11475,973195.3,4611841,3252531.7,27,7,10%
6,13770,1167833.7000000002,5423525,4052700.3000000003,23,6,10%
7,16065,1362473.2000000002,6200897,4924469.0,24,6,10%
8,18360,1557111.6,6945004,5847842.000000001,25,6,10%
9,20655,1751751.1,7656867,7613147.300000001,33,6,10%
10,22950,1946389.5000000002,8337478,8705417.600000001,34,5,10%
11,25245,2141029.0,8987801,9841540.5,36,4,10%
12,27540,2335667.4000000004,9608776,10992444.100000001,34,4,10%
13,29835,2530306.9000000004,10201317,12210521.4,35,4,10%
14,32130,2724945.3000000003,10766313,13468559.500000002,37,4,10%
15,34425,2919584.8000000003,11304629,14765305.500000002,38,4,10%
1,2295,203486.74999999997,1000000,491604.3,20,8,15%
2,4590,406972.35,1960000,1050431.8499999999,21,8,15%
3,6885,610459.1,2881200,1674465.5499999998,22,7,15%
4,9180,813944.7,3764768,2361742.3499999996,24,7,15%
5,11475,1017431.45,4611841,3400374.05,27,7,15%
6,13770,1220917.0499999998,5423525,4236913.949999999,23,6,15%
7,16065,1424403.7999999998,6200897,5148308.5,24,6,15%
8,18360,1627889.4,6945004,6113652.999999999,25,6,15%
9,20655,1831376.15,7656867,7959199.449999999,33,6,15%
10,22950,2034861.7499999998,8337478,9101118.399999999,34,5,15%
11,25245,2238348.5,8987801,10288883.25,36,4,15%
12,27540,2441834.0999999996,9608776,11492100.649999999,34,4,15%
13,29835,2645320.8499999996,10201317,12765545.1,35,4,15%
14,32130,2848806.4499999997,10766313,14080766.749999998,37,4,15%
15,34425,3052293.1999999997,11304629,15436455.749999998,38,4,15%
1,2295,212334.0,1000000,512978.39999999997,20,8,20%
2,4590,424666.8,1960000,1096102.8,21,8,20%
3,6885,637000.7999999999,2881200,1747268.4,22,7,20%
4,9180,849333.6,3764768,2464426.8,24,7,20%
5,11475,1061667.5999999999,4611841,3548216.4,27,7,20%
6,13770,1274000.4,5423525,4421127.6,23,6,20%
7,16065,1486334.4,6200897,5372148.0,24,6,20%
8,18360,1698667.2,6945004,6379464.0,25,6,20%
9,20655,1911001.2,7656867,8305251.6,33,6,20%
10,22950,2123334.0,8337478,9496819.2,34,5,20%
11,25245,2335668.0,8987801,10736226.0,36,4,20%
12,27540,2548000.8,9608776,11991757.2,34,4,20%
13,29835,2760334.8,10201317,13320568.799999999,35,4,20%
14,32130,2972667.6,10766313,14692974.0,37,4,20%
15,34425,3185001.6,11304629,16107606.0,38,4,20%
1,2295,221181.25,1000000,534352.5,20,8,25%
2,4590,442361.25,1960000,1141773.75,21,8,25%
3,6885,663542.5,2881200,1820071.25,22,7,25%
4,9180,884722.5,3764768,2567111.25,24,7,25%
5,11475,1105903.75,4611841,3696058.75,27,7,25%
6,13770,1327083.75,5423525,4605341.25,23,6,25%
7,16065,1548265.0,6200897,5595987.5,24,6,25%
8,18360,1769445.0,6945004,6645275.0,25,6,25%
9,20655,1990626.25,7656867,8651303.75,33,6,25%
10,22950,2211806.25,8337478,9892520.0,34,5,25%
11,25245,2432987.5,8987801,11183568.75,36,4,25%
12,27540,2654167.5,9608776,12491413.75,34,4,25%
13,29835,2875348.75,10201317,13875592.5,35,4,25%
14,32130,3096528.75,10766313,15305181.25,37,4,25%
15,34425,3317710.0,11304629,16778756.25,38,4,25%
